model,dataset,persona,layer,probe_accuracy,probe_cv_mean,probe_cv_std,n_questions,train_n,split_mode,split_seed,eval_n
olmo-7b,TruthfulQA,gender:male,30,0.8995098039215687,0.8582655826558266,0.03880736097797327,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:male,31,0.9019607843137255,0.8582354712436013,0.02236542245962177,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,0,0.4852941176470588,0.5110207768744355,0.006030106330001308,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,1,0.4852941176470588,0.5110207768744355,0.006030106330001308,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,2,0.4950980392156863,0.5159289370671485,0.010735636964884956,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,3,0.5343137254901961,0.513279132791328,0.042534477514771865,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,4,0.5367647058823529,0.5352905751279735,0.041367930017307555,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,5,0.5392156862745098,0.5109906654622102,0.03457702787945482,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,6,0.6053921568627451,0.5526949713941585,0.03258188381158253,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,7,0.6078431372549019,0.5795844625112918,0.027836139951162527,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,8,0.625,0.5893405600722674,0.02086975038975113,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,9,0.6299019607843137,0.5966275218307738,0.015981020366614796,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,10,0.7058823529411765,0.6504366154772658,0.036833827313088166,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,11,0.7573529411764706,0.7041854862993076,0.023255954238091136,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,12,0.8088235294117647,0.7604336043360433,0.02809031657420043,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,13,0.8504901960784313,0.8093345377898225,0.022267913586494853,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,14,0.8578431372549019,0.8607046070460704,0.019417868962246995,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,15,0.8897058823529411,0.8533875338753386,0.01836830699493825,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,16,0.8774509803921569,0.8631737428485395,0.020533996218101584,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,17,0.8946078431372549,0.8607648298705209,0.031065493208498704,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,18,0.8921568627450981,0.8437217705510388,0.0649433428467585,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,19,0.8970588235294118,0.8485697079193013,0.05351217326790065,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,20,0.8995098039215687,0.8607648298705209,0.04169429295711682,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,21,0.9117647058823529,0.8558566696778079,0.04432626936697694,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,22,0.9068627450980392,0.8607648298705209,0.04768448031647508,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,23,0.9093137254901961,0.8632038542607647,0.04227331285299635,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,24,0.9093137254901961,0.8558566696778079,0.04940369777749607,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,25,0.9093137254901961,0.8582956940680517,0.04707275766827206,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,26,0.9044117647058824,0.8631737428485395,0.037060213125098884,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,27,0.8921568627450981,0.8656127672387836,0.03245607982588433,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,28,0.8946078431372549,0.8631436314363142,0.030031209056249487,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,29,0.9019607843137255,0.8557964468533574,0.031028257936346927,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,30,0.9019607843137255,0.8582655826558266,0.03880736097797327,408,409,shuffle,20,408
olmo-7b,TruthfulQA,gender:non-binary,31,0.9093137254901961,0.8582354712436013,0.02236542245962177,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,0,0.4852941176470588,0.5110207768744355,0.006030106330001308,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,1,0.4852941176470588,0.5110207768744355,0.006030106330001308,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,2,0.4950980392156863,0.5159289370671485,0.010735636964884956,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,3,0.4950980392156863,0.513279132791328,0.042534477514771865,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,4,0.5441176470588235,0.5352905751279735,0.041367930017307555,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,5,0.553921568627451,0.5109906654622102,0.03457702787945482,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,6,0.6299019607843137,0.5526949713941585,0.03258188381158253,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,7,0.6176470588235294,0.5795844625112918,0.027836139951162527,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,8,0.6397058823529411,0.5893405600722674,0.02086975038975113,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,9,0.6225490196078431,0.5966275218307738,0.015981020366614796,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,10,0.6813725490196079,0.6504366154772658,0.036833827313088166,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,11,0.7598039215686274,0.7041854862993076,0.023255954238091136,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,12,0.7990196078431373,0.7604336043360433,0.02809031657420043,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,13,0.8529411764705882,0.8093345377898225,0.022267913586494853,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,14,0.8553921568627451,0.8607046070460704,0.019417868962246995,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,15,0.8872549019607843,0.8533875338753386,0.01836830699493825,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,16,0.875,0.8631737428485395,0.020533996218101584,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,17,0.8970588235294118,0.8607648298705209,0.031065493208498704,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,18,0.8946078431372549,0.8437217705510388,0.0649433428467585,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,19,0.8921568627450981,0.8485697079193013,0.05351217326790065,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,20,0.8995098039215687,0.8607648298705209,0.04169429295711682,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,21,0.9093137254901961,0.8558566696778079,0.04432626936697694,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,22,0.9142156862745098,0.8607648298705209,0.04768448031647508,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,23,0.9215686274509803,0.8632038542607647,0.04227331285299635,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,24,0.9215686274509803,0.8558566696778079,0.04940369777749607,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,25,0.9215686274509803,0.8582956940680517,0.04707275766827206,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,26,0.9215686274509803,0.8631737428485395,0.037060213125098884,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,27,0.9117647058823529,0.8656127672387836,0.03245607982588433,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,28,0.9142156862745098,0.8631436314363142,0.030031209056249487,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,29,0.9093137254901961,0.8557964468533574,0.031028257936346927,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,30,0.9068627450980392,0.8582655826558266,0.03880736097797327,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:White,31,0.9093137254901961,0.8582354712436013,0.02236542245962177,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,0,0.4852941176470588,0.5110207768744355,0.006030106330001308,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,1,0.4852941176470588,0.5110207768744355,0.006030106330001308,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,2,0.4950980392156863,0.5159289370671485,0.010735636964884956,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,3,0.4950980392156863,0.513279132791328,0.042534477514771865,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,4,0.5563725490196079,0.5352905751279735,0.041367930017307555,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,5,0.5441176470588235,0.5109906654622102,0.03457702787945482,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,6,0.6225490196078431,0.5526949713941585,0.03258188381158253,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,7,0.6274509803921569,0.5795844625112918,0.027836139951162527,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,8,0.6372549019607843,0.5893405600722674,0.02086975038975113,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,9,0.625,0.5966275218307738,0.015981020366614796,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,10,0.6862745098039216,0.6504366154772658,0.036833827313088166,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,11,0.7720588235294118,0.7041854862993076,0.023255954238091136,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,12,0.7990196078431373,0.7604336043360433,0.02809031657420043,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,13,0.8480392156862745,0.8093345377898225,0.022267913586494853,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,14,0.8529411764705882,0.8607046070460704,0.019417868962246995,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,15,0.8823529411764706,0.8533875338753386,0.01836830699493825,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,16,0.8725490196078431,0.8631737428485395,0.020533996218101584,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,17,0.8872549019607843,0.8607648298705209,0.031065493208498704,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,18,0.8946078431372549,0.8437217705510388,0.0649433428467585,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,19,0.8897058823529411,0.8485697079193013,0.05351217326790065,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,20,0.8946078431372549,0.8607648298705209,0.04169429295711682,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,21,0.9117647058823529,0.8558566696778079,0.04432626936697694,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,22,0.9166666666666666,0.8607648298705209,0.04768448031647508,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,23,0.9191176470588235,0.8632038542607647,0.04227331285299635,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,24,0.9142156862745098,0.8558566696778079,0.04940369777749607,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,25,0.9166666666666666,0.8582956940680517,0.04707275766827206,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,26,0.9191176470588235,0.8631737428485395,0.037060213125098884,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,27,0.9142156862745098,0.8656127672387836,0.03245607982588433,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,28,0.9215686274509803,0.8631436314363142,0.030031209056249487,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,29,0.9166666666666666,0.8557964468533574,0.031028257936346927,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,30,0.9117647058823529,0.8582655826558266,0.03880736097797327,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Black,31,0.9191176470588235,0.8582354712436013,0.02236542245962177,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,0,0.4852941176470588,0.5110207768744355,0.006030106330001308,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,1,0.4852941176470588,0.5110207768744355,0.006030106330001308,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,2,0.4950980392156863,0.5159289370671485,0.010735636964884956,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,3,0.5098039215686274,0.513279132791328,0.042534477514771865,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,4,0.5612745098039216,0.5352905751279735,0.041367930017307555,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,5,0.553921568627451,0.5109906654622102,0.03457702787945482,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,6,0.6127450980392157,0.5526949713941585,0.03258188381158253,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,7,0.6200980392156863,0.5795844625112918,0.027836139951162527,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,8,0.6323529411764706,0.5893405600722674,0.02086975038975113,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,9,0.6274509803921569,0.5966275218307738,0.015981020366614796,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,10,0.6813725490196079,0.6504366154772658,0.036833827313088166,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,11,0.7622549019607843,0.7041854862993076,0.023255954238091136,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,12,0.7990196078431373,0.7604336043360433,0.02809031657420043,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,13,0.8431372549019608,0.8093345377898225,0.022267913586494853,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,14,0.8504901960784313,0.8607046070460704,0.019417868962246995,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,15,0.8946078431372549,0.8533875338753386,0.01836830699493825,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,16,0.8774509803921569,0.8631737428485395,0.020533996218101584,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,17,0.8848039215686274,0.8607648298705209,0.031065493208498704,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,18,0.8946078431372549,0.8437217705510388,0.0649433428467585,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,19,0.8946078431372549,0.8485697079193013,0.05351217326790065,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,20,0.9044117647058824,0.8607648298705209,0.04169429295711682,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,21,0.9215686274509803,0.8558566696778079,0.04432626936697694,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,22,0.9215686274509803,0.8607648298705209,0.04768448031647508,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,23,0.9240196078431373,0.8632038542607647,0.04227331285299635,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,24,0.9166666666666666,0.8558566696778079,0.04940369777749607,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,25,0.9240196078431373,0.8582956940680517,0.04707275766827206,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,26,0.9240196078431373,0.8631737428485395,0.037060213125098884,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,27,0.9215686274509803,0.8656127672387836,0.03245607982588433,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,28,0.9215686274509803,0.8631436314363142,0.030031209056249487,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,29,0.9142156862745098,0.8557964468533574,0.031028257936346927,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,30,0.9044117647058824,0.8582655826558266,0.03880736097797327,408,409,shuffle,20,408
olmo-7b,TruthfulQA,race:Asian,31,0.9068627450980392,0.8582354712436013,0.02236542245962177,408,409,shuffle,20,408
